Date,Indonesia(IDR)
30-06-2008,8576905.0
31-07-2008,8349210.0
29-08-2008,7621950.0
30-09-2008,8340835.0
31-10-2008,7965175.0
28-11-2008,9794362.5
31-12-2008,9480275.0
30-01-2009,10463910.0
27-02-2009,11404960.0
31-03-2009,10590157.5
30-04-2009,9349201.3
29-05-2009,10037895.0
30-06-2009,9538908.8
31-07-2009,9319575.0
31-08-2009,9631440.0
30-09-2009,9623923.8
30-10-2009,9932000.0
30-11-2009,11116716.3
31-12-2009,10217062.5
29-01-2010,10083975.0
26-02-2010,10345513.8
31-03-2010,10150492.3
30-04-2010,10629759.5
31-05-2010,11078812.5
30-06-2010,11276860.0
30-07-2010,10460796.5
31-08-2010,11257610.0
30-09-2010,11664975.0
29-10-2010,12036578.1
30-11-2010,12498539.0
31-12-2010,12663555.0
31-01-2011,12006696.0
28-02-2011,12447136.5
31-03-2011,12530092.5
29-04-2011,13150022.0
31-05-2011,13114795.8
30-06-2011,12910415.3
29-07-2011,13846321.3
31-08-2011,15474595.5
30-09-2011,14239800.0
31-10-2011,15244005.0
30-11-2011,15906060.0
30-12-2011,13882342.5
31-01-2012,15678560.0
29-02-2012,15965400.0
30-03-2012,15201900.0
30-04-2012,15175813.1
31-05-2012,14645200.0
29-06-2012,15013911.3
31-07-2012,15352230.0
31-08-2012,15718447.5
28-09-2012,16996320.0
31-10-2012,16510995.0
30-11-2012,16558381.0
31-12-2012,15974156.3
31-01-2013,16214665.0
28-02-2013,15350469.8
29-03-2013,15530994.4
30-04-2013,14282352.5
31-05-2013,13659127.5
28-06-2013,11830600.0
31-07-2013,13509773.8
30-08-2013,15230670.0
30-09-2013,15360870.0
31-10-2013,14924790.0
29-11-2013,14989012.5
31-12-2013,14658765.0
31-01-2014,15274710.0
28-02-2014,15399338.5
31-03-2014,14674280.0
30-04-2014,14896992.8
30-05-2014,14599587.5
30-06-2014,15589325.0
31-07-2014,14879981.9
29-08-2014,15040060.6
30-09-2014,14823052.5
31-10-2014,14069961.3
28-11-2014,14434281.0
31-12-2014,14936310.0
30-01-2015,15964216.9
27-02-2015,15690950.0
31-03-2015,15520025.0
30-04-2015,15298990.6
29-05-2015,15755072.3
30-06-2015,15612357.5
31-07-2015,14858604.7
31-08-2015,15946750.0
30-09-2015,16320100.0
30-10-2015,15635913.6
30-11-2015,14691385.2
31-12-2015,14612100.0
29-01-2016,15315042.3
29-02-2016,16513081.5
31-03-2016,16402620.0
29-04-2016,16955150.9
31-05-2016,16557284.0
30-06-2016,17450409.4
29-07-2016,17578187.0
31-08-2016,17367201.3
30-09-2016,17259947.5
31-10-2016,16597056.0
30-11-2016,15966198.3
30-12-2016,15438136.4
31-01-2017,16193909.4
28-02-2017,16744679.7
31-03-2017,16588246.7
28-04-2017,16880511.4
31-05-2017,16865783.4
30-06-2017,16556086.9
31-07-2017,16888833.6
31-08-2017,17501368.5
29-09-2017,17282071.9
31-10-2017,17226408.1
30-11-2017,17315984.5
29-12-2017,17515642.5
31-01-2018,18008199.3
28-02-2018,18118458.7
30-03-2018,18226102.9
30-04-2018,18269894.3
31-05-2018,18137836.2
29-06-2018,17918947.8
31-07-2018,17606098.3
31-08-2018,17712087.8
28-09-2018,17691805.9
31-10-2018,18470276.6
30-11-2018,17414006.1
31-12-2018,18392020.0
31-01-2019,18489110.6
28-02-2019,18557141.3
29-03-2019,18446494.6
30-04-2019,18272772.2
31-05-2019,18490734.6
28-06-2019,19905647.5
31-07-2019,20009965.6
30-08-2019,21680352.6
30-09-2019,21083830.7
31-10-2019,21209204.5
29-11-2019,20595414.4
31-12-2019,21028516.9
31-01-2020,21632250.3
28-02-2020,23097324.3
31-03-2020,26241973.7
30-04-2020,25328406.3
29-05-2020,25256306.3
30-06-2020,25257309.9
31-07-2020,28687538.6
31-08-2020,28503910.8
30-09-2020,28077070.6
30-10-2020,27522057.7
30-11-2020,24887206.7
31-12-2020,26520781.4
29-01-2021,26149114.7
26-02-2021,24818185.4
31-03-2021,24562502.0
30-04-2021,25533702.8
31-05-2021,27131285.3
30-06-2021,25565673.6
30-07-2021,26404909.4
